leagueLevel,league,first,trophySelector,colour,sport,championship,trophy,month,year,number,date,note,t1,t1loc,nth,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1958,334,4/1/1958,,Montreal Canadiens,"Montreal, Quebec",16,"[-73.567256, 45.5016889]",Boston Bruins,"Boston, Massachusetts","[-71.0588801, 42.3600825]",New York Rangers,"New York, New York","[-74.0059728, 40.7127753]",Detroit Red Wings,"Detroit, Michigan","[-83.0457538, 42.331427]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1958,335,6/1/1958,,University of Southern California,"Los Angeles, California",6,"[-118.2436849, 34.0522342]",University of Missouri,"Columbia, Missouri","[-92.3340724, 38.9517053]",Western Michigan University,"Kalamazoo, Michigan","[-85.5872286, 42.2917069]",Holy Cross University,"Worcester, Massachusetts","[-71.8022934, 42.2625932]"
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1958,336,10/1/1958,,New York Yankees,"New York, New York",32,"[-74.0059728, 40.7127753]",Milwaukee Braves,"Milwaukee, Wisconsin","[-87.9064736, 43.0389025]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Pittsburgh Pirates,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]"
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,November,1958,337,11/1/1958,,Winnipeg Blue Bombers,"Winnipeg, Manitoba",4,"[-97.1383743999999, 49.895136]",Hamilton Tiger-Cats,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Edmonton Eskimos,"Edmonton, Alberta","[-113.4909267, 53.544389]",Ottawa Rough Riders,"Ottawa, Ontario","[-75.6971930999999, 45.4215296]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1958,338,12/1/1958,,Baltimore Colts,"Baltimore, Maryland",2,"[-76.6121893, 39.2903848]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1959,339,1/1/1959,"AP, UPI, FWAA",University of Iowa,"Iowa City, Iowa",1,"[-91.5301683, 41.6611277]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1959,340,1/1/1959,"AP, UPI, FWAA",Louisiana State University,"Baton Rouge, Louisiana",2,"[-91.1871465999999, 30.4514677]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-basketball-m,#386cb0,basketball-men,NCAA Division I Men's Basketball Tournament,NCAA National Championship Trophy,March,1959,341,3/1/1959,,University of California,"Berkeley, California",6,"[-122.272747, 37.8715926]",West Virginia University,"Morgantown, West Virginia","[-79.9558967999999, 39.629526]",University of Cincinnati,"Cincinnati, Ohio","[-84.5120196, 39.1031182]",University of Louisville,"Louisville, Kentucky","[-85.7584557, 38.2526647]"
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1959,342,4/1/1959,,Boston Celtics,"Boston, Massachusetts",11,"[-71.0588801, 42.3600825]",Minneapolis Lakers,"Minneapolis, Minnesota","[-93.2650108, 44.977753]",St Louis Hawks,"St Louis, Missouri","[-90.1994041999999, 38.6270025]",Syracuse Nationals,"Syracuse, New York","[-76.1474243999999, 43.0481221]"
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1959,343,4/1/1959,,Montreal Canadiens,"Montreal, Quebec",17,"[-73.567256, 45.5016889]",Toronto Maple Leafs,"Toronto, Ontario","[-79.3831843, 43.653226]",Boston Bruins,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Chicago Black Hawks,"Chicago, Illinois","[-87.6297982, 41.8781136]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1959,344,6/1/1959,,Oklahoma State University,"Stillwater, Oklahoma",3,"[-97.0583681, 36.1156071]",University of Arizona,"Tucson, Arizona","[-110.9747108, 32.2226066]",Penn State University,"Centre Country, Pennsylvania","[-77.8367282, 40.8765649]",Fresno State,"Fresno, California","[-119.7871247, 36.7377981]"
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1959,345,10/1/1959,,Los Angeles Dodgers,"Los Angeles, California",7,"[-118.2436849, 34.0522342]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Cleveland Indians,"Cleveland, Ohio","[-81.6943605, 41.49932]",Milwaukee Braves,"Milwaukee, Wisconsin","[-87.9064736, 43.0389025]"
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,November,1959,346,11/1/1959,,Winnipeg Blue Bombers,"Winnipeg, Manitoba",5,"[-97.1383743999999, 49.895136]",Hamilton Tiger-Cats,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Edmonton Eskimos,"Edmonton, Alberta","[-113.4909267, 53.544389]",Ottawa Rough Riders,"Ottawa, Ontario","[-75.6971930999999, 45.4215296]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1959,347,12/1/1959,,Baltimore Colts,"Baltimore, Maryland",3,"[-76.6121893, 39.2903848]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1960,348,1/1/1960,"AP, FWAA, NFF, UPI",Syracuse University,"Syracuse, New York",2,"[-76.1474243999999, 43.0481221]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-basketball-m,#386cb0,basketball-men,NCAA Division I Men's Basketball Tournament,NCAA National Championship Trophy,March,1960,349,3/1/1960,,Ohio State University,"Columbus, Ohio",4,"[-82.9987941999999, 39.9611755]",University of California,"Berkeley, California","[-122.272747, 37.8715926]",University of Cincinnati,"Cincinnati, Ohio","[-84.5120196, 39.1031182]",New York University,"New York, New York","[-74.0059728, 40.7127753]"
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1960,350,4/1/1960,,Boston Celtics,"Boston, Massachusetts",12,"[-71.0588801, 42.3600825]",St Louis Hawks,"St Louis, Missouri","[-90.1994041999999, 38.6270025]",Minneapolis Lakers,"Minneapolis, Minnesota","[-93.2650108, 44.977753]",Philadelphia Warriors,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1960,351,4/1/1960,,Montreal Canadiens,"Montreal, Quebec",18,"[-73.567256, 45.5016889]",Toronto Maple Leafs,"Toronto, Ontario","[-79.3831843, 43.653226]",Detroit Red Wings,"Detroit, Michigan","[-83.0457538, 42.331427]",Chicago Black Hawks,"Chicago, Illinois","[-87.6297982, 41.8781136]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1960,352,6/1/1960,,University of Minnesota,"Minneapolis, Minnesota",12,"[-93.2650108, 44.977753]",University of Southern California,"Los Angeles, California","[-118.2436849, 34.0522342]",University of Arizona,"Tucson, Arizona","[-110.9747108, 32.2226066]",Oklahoma State University,"Stillwater, Oklahoma","[-97.0583681, 36.1156071]"
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1960,353,10/1/1960,,Pittsburgh Pirates,"Pittsburgh, Pennsylvania",7,"[-79.9958864, 40.4406247999999]",New York Yankees,"New York, New York","[-74.0059728, 40.7127753]",Baltimore Orioles,"Baltimore, Maryland","[-76.6121893, 39.2903848]",Milwaukee Braves,"Milwaukee, Wisconsin","[-87.9064736, 43.0389025]"
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,November,1960,354,11/1/1960,,Ottawa Rough Riders,"Ottawa, Ontario",8,"[-75.6971930999999, 45.4215296]",Edmonton Eskimos,"Edmonton, Alberta","[-113.4909267, 53.544389]",Winnipeg Blue Bombers,"Winnipeg, Manitoba","[-97.1383743999999, 49.895136]",Toronto Argonauts,"Toronto, Ontario","[-79.3831843, 43.653226]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1960,355,12/1/1960,,Philadelphia Eagles,"Philadelphia, Pennsylvania",16,"[-75.1652215, 39.9525839]",Green Bay Packers,"Green Bay, Wisconsin","[-88.0132958, 44.5133188]",,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1961,356,1/1/1961,"AP, NFF, UPI, FWAA",University of Minnesota,"Minneapolis, Minnesota",13,"[-93.2650108, 44.977753]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1961,357,1/1/1961,"AP, NFF, UPI, FWAA",University of Mississippi,"Oxford, Mississippi",1,"[-89.5192484, 34.3664951]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-basketball-m,#386cb0,basketball-men,NCAA Division I Men's Basketball Tournament,NCAA National Championship Trophy,March,1961,358,3/1/1961,,University of Cincinnati,"Cincinnati, Ohio",3,"[-84.5120196, 39.1031182]",Ohio State University,"Columbus, Ohio","[-82.9987941999999, 39.9611755]",,,,University of Utah,"Salt Lake City, Utah","[-111.8910474, 40.7607793]"
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1961,359,4/1/1961,,Boston Celtics,"Boston, Massachusetts",13,"[-71.0588801, 42.3600825]",St Louis Hawks,"St Louis, Missouri","[-90.1994041999999, 38.6270025]",Los Angeles Lakers,"Los Angeles, California","[-118.2436849, 34.0522342]",Syracuse Nationals,"Syracuse, New York","[-76.1474243999999, 43.0481221]"
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1961,360,4/1/1961,,Chicago Black Hawks,"Chicago, Illinois",16,"[-87.6297982, 41.8781136]",Detroit Red Wings,"Detroit, Michigan","[-83.0457538, 42.331427]",Toronto Maple Leafs,"Toronto, Ontario","[-79.3831843, 43.653226]",Montreal Canadiens,"Montreal, Quebec","[-73.567256, 45.5016889]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1961,361,6/1/1961,,University of Southern California,"Los Angeles, California",8,"[-118.2436849, 34.0522342]",Oklahoma State University,"Stillwater, Oklahoma","[-97.0583681, 36.1156071]",Syracuse University,"Syracuse, New York","[-76.1474243999999, 43.0481221]",Boston College,"Newton, Massachusetts","[-71.2092213999999, 42.3370413]"
