city,stateAbb,state,cityState,teams,Latitude,Longitude,lngLat,rank_all,rank_pro,rank_NCAA,count,finals,final4,pro,NCAA,mlb,nba,nfl,nhl,mls,cfl,ncaa,ncaa-football-m,ncaa-basketball-m,ncaa-baseball-m,ncaa-basketball-w,ncaa-soccer-w,ncaa-volleyball-w
Miami,FL,Florida,"Miami, Florida","[""University of Miami (NCAA - 9)"", "" Miami Heat (NBA - 3)"", "" Florida Marlins (MLB - 2)"", "" Miami Dolphins (NFL - 2)""]",25.7616798,-80.1917902,"[-80.1917902, 25.7616798]",14,22,17,16,8,11,7,9,2,3,2,0,0,0,9,5,0,4,0,0,0
Minneapolis,MN,Minnesota,"Minneapolis, Minnesota","[""University of Minnesota (NCAA - 9)"", "" Minneapolis Lakers (NBA - 5)"", "" Minnesota Twins (MLB - 2)""]",44.977753,-93.2650108,"[-93.2650108, 44.977753]",14,22,17,16,9,28,7,9,2,5,0,0,0,0,9,6,0,3,0,0,0
Tuscaloosa,AL,Alabama,"Tuscaloosa, Alabama","[""University of Alabama (NCAA - 15)""]",33.2098407,-87.5691735,"[-87.5691734999999, 33.2098407]",16,53,5,15,3,2,0,15,0,0,0,0,0,0,15,15,0,0,0,0,0
Mansfield,CT,Connecticut,"Mansfield, Connecticut","[""University of Connecticut (NCAA - 15)""]",41.788489,-72.2292913,"[-72.2292913, 41.788489]",16,53,5,15,4,12,0,15,0,0,0,0,0,0,15,0,4,0,11,0,0
Princeton,NJ,New Jersey,"Princeton, New Jersey","[""Princeton University (NCAA - 15)""]",40.3572976,-74.6672226,"[-74.6672226, 40.3572976]",16,53,5,15,0,2,0,15,0,0,0,0,0,0,15,15,0,0,0,0,0
Stanford,CA,California,"Stanford, California","[""Stanford University (NCAA - 15)""]",37.424106,-122.1660756,"[-122.1660756, 37.4241059999999]",16,53,5,15,15,26,0,15,0,0,0,0,0,0,15,1,1,2,2,2,7
Hamilton,ON,Ontario,"Hamilton, Ontario","[""Hamilton Tiger-Cats (CFL - 8)"", "" Hamilton Tigers (CFL - 5)"", "" Hamilton Alerts (CFL - 1)"", "" Hamilton Flying Wildcats (CFL - 1)""]",43.2557206,-79.8711024,"[-79.8711024, 43.2557206]",16,11,110,15,17,11,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Green Bay,WI,Wisconsin,"Green Bay, Wisconsin","[""Green Bay Packers (NFL - 14)""]",44.5133188,-88.0132958,"[-88.0132958, 44.5133188]",21,12,110,14,5,4,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0
St Louis,MO,Missouri,"St Louis, Missouri","[""St Louis Cardinals (MLB - 11)"", "" St Louis Hawks (NBA - 1)"", "" St Louis Rams (NFL - 1)""]",38.6270025,-90.1994042,"[-90.1994041999999, 38.6270025]",22,13,110,13,16,30,13,0,11,1,1,0,0,0,0,0,0,0,0,0,0
Washington,DC,DC,"Washington, DC","[""Washington Redskins (NFL - 5)"", "" Washington Redskins (NFL - 5)"", "" D.C. United (MLS - 4)"", "" Georgetown University (NCAA - 1)"", "" Washington Bullets (NBA - 1)"", "" Washington Capitals (NHL - 1)"", "" Washington Senators (MLB - 1)""]",38.9071923,-77.0368707,"[-77.0368707, 38.9071923]",22,15,69,13,16,11,12,1,1,1,5,1,4,0,1,0,1,0,0,0,0
Austin,TX,Texas,"Austin, Texas","[""University of Texas (NCAA - 13)""]",30.267153,-97.7430608,"[-97.7430608, 30.267153]",22,53,9,13,10,26,0,13,0,0,0,0,0,0,13,4,0,6,1,0,2
Ottawa,ON,Ontario,"Ottawa, Ontario","[""Ottawa Rough Riders (CFL - 7)"", "" Ottawa Senators (NHL - 5)"", "" Ottawa Redblacks (CFL - 1)""]",45.4215296,-75.6971931,"[-75.6971930999999, 45.4215296]",22,13,110,13,12,15,13,0,0,0,0,3,0,10,0,0,0,0,0,0,0
Ann Arbor,MI,Michigan,"Ann Arbor, Michigan","[""University of Michigan (NCAA - 12)""]",42.2808256,-83.7430378,"[-83.7430378, 42.2808256]",26,53,10,12,3,4,0,12,0,0,0,0,0,0,12,9,1,2,0,0,0
Centre Country,PA,Pennsylvania,"Centre Country, Pennsylvania","[""Penn State University (NCAA - 12)""]",40.8765649,-77.8367282,"[-77.8367282, 40.8765649]",26,53,10,12,5,10,0,12,0,0,0,0,0,0,12,4,0,0,0,1,7
Columbus,OH,Ohio,"Columbus, Ohio","[""Ohio State University (NCAA - 10)"", "" Columbus Crew (MLS - 1)""]",39.9611755,-82.9987942,"[-82.9987941999999, 39.9611755]",28,42,12,11,7,13,1,10,0,0,0,0,1,0,10,8,1,1,0,0,0
Oakland,CA,California,"Oakland, California","[""Golden State Warriors (NBA - 4)"", "" Oakland Athletics (MLB - 4)"", "" Oakland Raiders (NFL - 2)""]",37.8043637,-122.2711137,"[-122.2711137, 37.8043637]",29,16,110,10,5,13,10,0,4,4,2,0,0,0,0,0,0,0,0,0,0
San Francisco,CA,California,"San Francisco, California","[""San Francisco 49ers (NFL - 5)"", "" San Francisco Giants (MLB - 3)"", "" University of San Francisco (NCAA - 2)""]",37.7749295,-122.4194155,"[-122.4194155, 37.7749295]",29,20,50,10,6,17,8,2,3,0,5,0,0,0,2,0,2,0,0,0,0
Baltimore,MD,Maryland,"Baltimore, Maryland","[""Baltimore Colts (NFL - 3)"", "" Baltimore Orioles (MLB - 3)"", "" Baltimore Ravens (NFL - 2)"", "" Baltimore Bullets (NBA - 1)"", "" Baltimore Stallions (CFL - 1)""]",39.2903848,-76.6121893,"[-76.6121893, 39.2903848]",29,16,110,10,7,11,10,0,3,1,5,0,0,1,0,0,0,0,0,0,0
Baton Rouge,LA,Louisiana,"Baton Rouge, Louisiana","[""Louisiana State University (NCAA - 10)""]",30.4514677,-91.1871466,"[-91.1871465999999, 30.4514677]",29,53,12,10,1,15,0,10,0,0,0,0,0,0,10,4,0,6,0,0,0
Lincoln,NE,Nebraska,"Lincoln, Nebraska","[""University of Nebraska (NCAA - 10)""]",40.813616,-96.7025955,"[-96.7025955, 40.813616]",29,53,12,10,3,6,0,10,0,0,0,0,0,0,10,5,0,0,0,0,5
Columbia,SC,South Carolina,"Columbia, South Carolina","[""University of South Carolina (NCAA - 10)""]",34.0007104,-81.0348144,"[-81.0348144, 34.0007104]",29,53,12,10,6,13,0,10,0,0,0,0,0,0,10,0,0,2,3,2,3
Knoxville,TN,Tennessee,"Knoxville, Tennessee","[""University of Tennessee (NCAA - 10)""]",35.9606384,-83.9207392,"[-83.9207392, 35.9606384]",29,53,12,10,6,8,0,10,0,0,0,0,0,0,10,2,0,0,8,0,0
Winnipeg,MB,Manitoba,"Winnipeg, Manitoba","[""Winnipeg Blue Bombers (CFL - 9)"", "" Winnipeg ‘Pegs (CFL - 1)""]",49.895136,-97.1383744,"[-97.1383743999999, 49.895136]",29,16,110,10,17,14,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Cleveland,OH,Ohio,"Cleveland, Ohio","[""Cleveland Browns (NFL - 4)"", "" Cleveland Indians (MLB - 2)"", "" Cleveland Bulldogs (NFL - 1)"", "" Cleveland Cavaliers (NBA - 1)"", "" Cleveland Rams (NFL - 1)""]",41.49932,-81.6943605,"[-81.6943605, 41.49932]",37,19,110,9,13,22,9,0,2,1,6,0,0,0,0,0,0,0,0,0,0
Norman,OK,Oklahoma,"Norman, Oklahoma","[""University of Oklahama (NCAA - 9)""]",35.2225668,-97.4394777,"[-97.4394777, 35.2225668]",37,53,17,9,3,6,0,9,0,0,0,0,0,0,9,7,0,2,0,0,0
Cambridge,MA,Massachusetts,"Cambridge, Massachusetts","[""Harvard University (NCAA - 8)""]",42.3736158,-71.1097335,"[-71.1097334999999, 42.3736158]",39,53,20,8,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0
Lexington,KY,Kentucky,"Lexington, Kentucky","[""University of Kentucky (NCAA - 8)""]",38.0405837,-84.5037164,"[-84.5037164, 38.0405837]",39,53,20,8,4,6,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0
Calgary,AB,Alberta,"Calgary, Alberta","[""Calgary Stampeders (CFL - 7)"", "" Calgary Flames (NHL - 1)""]",51.0486151,-114.0708459,"[-114.0708459, 51.0486151]",39,20,110,8,11,17,8,0,0,0,0,1,0,7,0,0,0,0,0,0,0
Cincinnati,OH,Ohio,"Cincinnati, Ohio","[""Cincinnati Reds (MLB - 5)"", "" University of Cincinnati (NCAA - 2)""]",39.1031182,-84.5120196,"[-84.5120196, 39.1031182]",42,26,50,7,7,14,5,2,5,0,0,0,0,0,2,0,2,0,0,0,0
Gainesville,FL,Florida,"Gainesville, Florida","[""University of Florida (NCAA - 7)""]",29.6516344,-82.3248262,"[-82.3248261999999, 29.6516344]",42,53,22,7,5,12,0,7,0,0,0,0,0,0,7,3,2,1,0,1,0
Dallas,TX,Texas,"Dallas, Texas","[""Dallas Cowboys (NFL - 5)"", "" Dallas Mavericks (NBA - 1)"", "" Dallas Stars (NHL - 1)""]",32.7766642,-96.7969879,"[-96.7969878999999, 32.7766642]",42,22,110,7,7,18,7,0,0,1,5,1,0,0,0,0,0,0,0,0,0
Houston,TX,Texas,"Houston, Texas","[""Houston Dynamo (MLS - 2)"", "" Houston Rockets (NBA - 2)"", "" Houston Astros (MLB - 1)"", "" Rice University (NCAA - 1)""]",29.7604267,-95.3698028,"[-95.3698028, 29.7604267]",45,26,69,6,8,17,5,1,1,2,0,0,2,0,1,0,0,1,0,0,0
Berkeley,CA,California,"Berkeley, California","[""University of California (NCAA - 6)""]",37.8715926,-122.272747,"[-122.272747, 37.8715926]",45,53,23,6,2,6,0,6,0,0,0,0,0,0,6,3,1,2,0,0,0
Statesboro,GA,Georgia,"Statesboro, Georgia","[""Georgia Southern University (NCAA - 6)""]",32.4487876,-81.7831674,"[-81.7831674, 32.4487876]",45,53,23,6,2,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0
Fargo,ND,North Dakota,"Fargo, North Dakota","[""North Dakota State University (NCAA - 6)""]",46.8771863,-96.7898034,"[-96.7898034, 46.8771863]",45,53,23,6,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0
Denver,CO,Colorado,"Denver, Colorado","[""Denver Broncos (NFL - 3)"", "" Colorado Avalanche (NHL - 2)"", "" University of Colorado (NCAA - 1)""]",39.7392358,-104.990251,"[-104.990251, 39.7392358]",45,26,69,6,6,11,5,1,0,0,3,2,0,0,1,1,0,0,0,0,0
Vancouver,BC,British Columbia,"Vancouver, British Columbia","[""BC Lions (CFL - 6)""]",49.2827291,-123.1207375,"[-123.1207375, 49.2827291]",45,25,110,6,7,12,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Kansas City,MO,Missouri,"Kansas City, Missouri","[""Kansas City Royals (MLB - 2)"", "" Kansas City Chiefs (NFL - 1)"", "" Kansas City Wizards (MLS - 1)"", "" Sporting Kansas City (MLS - 1)""]",39.0997265,-94.5785667,"[-94.5785667, 39.0997265]",51,26,110,5,4,10,5,0,2,0,1,0,2,0,0,0,0,0,0,0,0
Tucson,AZ,Arizona,"Tucson, Arizona","[""University of Arizona (NCAA - 5)""]",32.2226066,-110.9747108,"[-110.9747108, 32.2226066]",51,53,26,5,5,6,0,5,0,0,0,0,0,0,5,0,1,4,0,0,0
Durham,NC,North Carolina,"Durham, North Carolina","[""Duke University (NCAA - 5)""]",35.9940329,-78.898619,"[-78.898619, 35.9940329]",51,53,26,5,11,8,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0
Tallahassee,FL,Florida,"Tallahassee, Florida","[""Florida State University (NCAA - 4)"", "" Florida A&M (NCAA - 1)""]",30.4382559,-84.2807329,"[-84.2807328999999, 30.4382559]",51,53,26,5,6,11,0,5,0,0,0,0,0,0,5,4,0,0,0,1,0
Bloomington,IN,Indiana,"Bloomington, Indiana","[""University of Indiana (NCAA - 5)""]",39.165325,-86.5263857,"[-86.5263856999999, 39.165325]",51,53,26,5,1,2,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0
East Lansing,MI,Michigan,"East Lansing, Michigan","[""Michigan State University (NCAA - 5)""]",42.7369792,-84.4838654,"[-84.4838654, 42.7369792]",51,53,26,5,2,8,0,5,0,0,0,0,0,0,5,3,2,0,0,0,0
Tempe,AZ,Arizona,"Tempe, Arizona","[""Arizona State University (NCAA - 5)""]",33.4255104,-111.9400054,"[-111.9400054, 33.4255104]",51,53,26,5,5,6,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0
Seattle,WA,Washington,"Seattle, Washington","[""University of Washington (NCAA - 2)"", "" Seattle Seahawks (NFL - 1)"", "" Seattle Sounders FC (MLS - 1)"", "" Seattle SuperSonics (NBA - 1)""]",47.6062095,-122.3320708,"[-122.3320708, 47.6062095]",51,32,50,5,6,14,3,2,0,1,1,0,1,0,2,1,0,0,0,0,1
San Antonio,TX,Texas,"San Antonio, Texas","[""San Antonio Spurs (NBA - 5)""]",29.4241219,-98.4936282,"[-98.4936281999999, 29.4241219]",51,26,110,5,1,9,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Atlanta,GA,Georgia,"Atlanta, Georgia","[""Georgia Tech (NCAA - 3)"", "" Atlanta Braves (MLB - 1)""]",33.7489954,-84.3879824,"[-84.3879824, 33.7489954]",60,42,36,4,8,12,1,3,1,0,0,0,0,0,3,3,0,0,0,0,0
Youngstown,OH,Ohio,"Youngstown, Ohio","[""Youngstown State University (NCAA - 4)""]",41.0997803,-80.6495194,"[-80.6495194, 41.0997803]",60,53,34,4,3,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0
Fullerton,CA,California,"Fullerton, California","[""California State University"", "" Fullerton (NCAA - 4)""]",33.8703645,-117.9242123,"[-117.9242123, 33.8703645]",60,53,34,4,1,5,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0
Portland,OR,Oregon,"Portland, Oregon","[""University of Portland (NCAA - 2)"", "" Portland Timbers (MLS - 1)"", "" Portland Trail Blazers (NBA - 1)""]",45.5230622,-122.6764815,"[-122.6764815, 45.5230622]",60,35,50,4,3,9,2,2,0,1,0,0,1,0,2,0,0,0,0,2,0
Regina,SK,Saskatchewan,"Regina, Saskatchewan","[""Saskatchewan Roughriders (CFL - 4)""]",50.4452112,-104.6188943,"[-104.6188943, 50.4452112]",60,31,110,4,15,11,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Milwaukee,WI,Wisconsin,"Milwaukee, Wisconsin","[""Marquette University (NCAA - 1)"", "" Milwaukee Brewers (MLB - 1)"", "" Milwaukee Bucks (NBA - 1)""]",43.0389025,-87.9064736,"[-87.9064736, 43.0389025]",65,35,69,3,4,13,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Boone,NC,North Carolina,"Boone, North Carolina","[""Appalachian State University (NCAA - 3)""]",36.216795,-81.6745517,"[-81.6745517, 36.216795]",65,53,36,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0
